Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
Brian DeCherney,70,6,1538.11,3,2,2,New / Occasional
Brian Derr,10,3,582.646,4,1,1,New / Occasional
Brian Moss,34,11,7294.185,3,4,4,Loyal Customers
Brian Stugart,583,3,3288.1099999999997,1,1,3,Needs Attention
Brian Thompson,21,7,3196.752,4,3,3,Loyal Customers
Brooke Gillingham,37,6,1874.172,3,2,2,New / Occasional
Brosina Hoffman,24,8,6255.351,4,3,4,Loyal Customers
Bruce Degenhardt,94,6,1526.5,2,2,2,At Risk / Lost
Bruce Geld,58,6,1006.356,3,2,1,New / Occasional
Bruce Stewart,2,7,2562.382,4,3,3,Loyal Customers
Bryan Davis,328,6,658.466,1,2,1,At Risk / Lost
Bryan Mills,219,10,1338.842,1,4,2,Needs Attention
Bryan Spruell,266,2,949.4300000000001,1,1,1,At Risk / Lost
Candace McMahon,132,6,1673.888,2,2,2,At Risk / Lost
Cari Sayre,92,5,1278.954,2,2,2,At Risk / Lost
Cari Schnelling,163,6,537.632,2,2,1,At Risk / Lost
Carl Jackson,366,1,16.52,1,1,1,At Risk / Lost
Carl Ludwig,107,4,1262.0140000000001,2,1,2,At Risk / Lost
Carl Weiss,23,6,1136.592,4,2,1,New / Occasional
Carlos Daly,41,5,2033.968,3,2,2,New / Occasional
Carlos Meador,708,2,565.392,1,1,1,At Risk / Lost
Carlos Soltero,26,11,3036.547,4,4,3,Loyal Customers
Carol Adams,97,6,3789.7228,2,2,4,Needs Attention
Carol Darley,55,3,639.766,3,1,1,New / Occasional
Carol Triggs,97,8,3241.898,2,3,3,Needs Attention
Caroline Jumper,190,8,11164.974,1,3,4,Needs Attention
Cassandra Brandow,48,10,6076.139,3,4,4,Loyal Customers
Catherine Glotzbach,50,6,904.4680000000001,3,2,1,New / Occasional
Cathy Armstrong,402,5,1679.7240000000002,1,2,2,At Risk / Lost
Cathy Hwang,691,3,1537.236,1,1,2,At Risk / Lost
Cathy Prescott,83,8,5402.254,2,3,4,Needs Attention
Chad Cunningham,458,6,1770.945,1,2,2,At Risk / Lost
Chad McGuire,9,4,1661.6100000000001,4,1,2,New / Occasional
Chad Sievert,490,4,884.64,1,1,1,At Risk / Lost
Charles Crestani,107,7,2471.65,2,3,3,Needs Attention
Charles McCrossin,27,6,2533.314,4,2,3,New / Occasional
Charles Sheldon,233,5,844.4580000000001,1,2,1,At Risk / Lost
Charlotte Melton,9,6,1475.144,4,2,2,New / Occasional
Chloris Kastensmidt,40,13,3154.855,3,4,3,Loyal Customers
Chris Cortes,21,12,3913.418,4,4,4,Champions
Chris McAfee,386,5,2305.712,1,2,3,Needs Attention
Chris Selesnick,27,12,2754.216,4,4,3,Loyal Customers
Christina Anderson,57,9,2648.2872,3,4,3,Loyal Customers
Christina DeMoss,43,2,1205.584,3,1,2,New / Occasional
Christina VanderZanden,255,5,2830.6279999999997,1,2,3,Needs Attention
Christine Abelman,14,4,1421.954,4,1,2,New / Occasional
Christine Kargatis,121,5,2945.321,2,2,3,Needs Attention
Christine Phan,161,8,5888.275,2,3,4,Needs Attention
Christine Sundaresam,7,11,3202.1620000000003,4,4,3,Loyal Customers
Christopher Conant,44,5,12129.072000000002,3,2,4,New / Occasional
Christopher Martinez,38,4,8954.019999999999,3,1,4,New / Occasional
Christopher Schild,3,9,3651.8585000000003,4,4,3,Loyal Customers
Christy Brittain,27,8,1949.2,4,3,2,Loyal Customers
Chuck Clark,1,10,2870.05,4,4,3,Loyal Customers
Chuck Magee,437,3,287.99,1,1,1,At Risk / Lost
Chuck Sachs,28,2,550.644,4,1,1,New / Occasional
Cindy Chapman,40,9,1659.438,3,4,2,Loyal Customers
Cindy Schnelling,425,4,1077.2285,1,1,1,At Risk / Lost
Cindy Stewart,59,6,5690.054999999999,3,2,4,New / Occasional
Claire Gute,339,3,1148.7800000000002,1,1,2,At Risk / Lost
Claudia Bergmann,198,8,4246.4555,1,3,4,Needs Attention
Clay Cheatham,28,3,113.832,4,1,1,New / Occasional
Clay Ludtke,285,12,10880.546,1,4,4,Needs Attention
Clay Rozendal,58,4,2148.852,3,1,2,New / Occasional
Clytie Kelty,44,11,2372.75,3,4,3,Loyal Customers
Corey Catlett,35,7,2540.631,3,3,3,Loyal Customers
Corey Roper,471,3,475.9,1,1,1,At Risk / Lost
Corey-Lock,550,5,1300.076,1,2,2,At Risk / Lost
Corinna Mitchell,28,6,6339.5576,4,2,4,New / Occasional
Craig Carreira,30,7,2269.7015,4,3,3,Loyal Customers
Craig Carroll,799,4,2854.1150000000002,1,1,3,Needs Attention
Craig Leslie,106,5,2353.586,2,2,3,Needs Attention
Craig Molinari,1035,4,3984.4524,1,1,4,Needs Attention
Craig Reiter,79,4,1600.55,2,1,2,At Risk / Lost
Craig Yedwab,61,8,2900.026,3,3,3,Loyal Customers
Cyma Kinney,83,9,1582.109,2,4,2,Needs Attention
Cynthia Arntzen,121,7,3041.566,2,3,3,Needs Attention
Cynthia Delaney,400,5,1860.732,1,2,2,At Risk / Lost
Cynthia Voltz,6,9,2370.3136,4,4,3,Loyal Customers
Cyra Reiten,86,3,1397.8724,2,1,2,At Risk / Lost
Damala Kotsonis,22,12,3256.48,4,4,3,Loyal Customers
Dan Campbell,38,9,3336.168,3,4,3,Loyal Customers
Dan Lawera,101,8,1503.112,2,3,2,Needs Attention
Dan Reichenbach,4,9,6528.034000000001,4,4,4,Champions
Dana Kaydos,46,5,4282.176,3,2,4,New / Occasional
Daniel Byrd,22,8,2171.599,4,3,2,Loyal Customers
Daniel Lacy,58,6,3272.2,3,2,3,New / Occasional
Daniel Raglin,51,8,8350.868,3,3,4,Loyal Customers
Dario Medina,115,7,1322.034,2,3,2,Needs Attention
Darren Budd,242,5,2839.2272,1,2,3,Needs Attention
Darren Koutras,8,5,1687.04,4,2,2,New / Occasional
Darren Powers,127,9,1050.636,2,4,1,Needs Attention
Darrin Martin,58,7,6345.103,3,3,4,Loyal Customers
Darrin Sayre,94,4,1762.213,2,1,2,At Risk / Lost
Darrin Van Huff,20,5,1119.483,4,2,1,New / Occasional
Dave Brooks,17,7,4531.646,4,3,4,Loyal Customers
Dave Hallsten,278,6,4932.872,1,2,4,Needs Attention
Dave Kipp,43,7,2650.557,3,3,3,Loyal Customers
Dave Poirier,7,8,2215.002,4,3,2,Loyal Customers
David Bremer,49,7,2973.094,3,3,3,Loyal Customers
David Flashing,700,3,2390.534,1,1,3,Needs Attention
David Kendrick,11,2,797.832,4,1,1,New / Occasional
David Philippe,812,2,1058.616,1,1,1,At Risk / Lost
David Smith,24,9,2881.8128,4,4,3,Loyal Customers
David Wiener,70,6,1080.751,3,2,1,New / Occasional
Dean Braden,10,10,2332.577,4,4,3,Loyal Customers
Dean Katz,11,9,4802.394,4,4,4,Champions
Dean percer,85,11,7198.7609999999995,2,4,4,Needs Attention
Deanra Eno,719,5,2550.874,1,2,3,Needs Attention
Deborah Brumfield,54,8,4655.897,3,3,4,Loyal Customers
Debra Catini,24,5,1174.618,4,2,2,New / Occasional
Deirdre Greer,33,5,3195.818,3,2,3,New / Occasional
Delfina Latchford,23,8,1458.258,4,3,2,Loyal Customers
Denise Leinenbach,58,4,585.02,3,1,1,New / Occasional
Denise Monton,23,8,4074.4719999999998,4,3,4,Loyal Customers
Dennis Bolton,265,5,1081.466,1,2,1,At Risk / Lost
Dennis Kane,20,8,3318.486,4,3,3,Loyal Customers
Dennis Pardue,359,9,5480.723999999999,1,4,4,Needs Attention
Denny Blanton,188,4,1711.692,1,1,2,At Risk / Lost
Denny Joy,638,4,2012.52,1,1,2,At Risk / Lost
Denny Ordway,134,9,1300.0315,2,4,2,Needs Attention
Dianna Arnett,353,4,156.76,1,1,1,At Risk / Lost
Dianna Vittorini,30,6,3341.587,4,2,3,New / Occasional
Dianna Wilson,218,5,5271.628,1,2,4,Needs Attention
Dionis Lloyd,77,8,3539.322,2,3,3,Needs Attention
Don Jones,49,8,2501.6879999999996,3,3,3,Loyal Customers
Don Miller,482,3,1376.792,1,1,2,At Risk / Lost
Don Weiss,99,5,344.08,2,2,1,At Risk / Lost
Dorothy Badders,108,7,3908.8028,2,3,4,Needs Attention
Dorothy Dickinson,42,6,269.542,3,2,1,New / Occasional
Dorothy Wardle,243,7,1204.854,1,3,2,Needs Attention
Dorris liebe,120,5,755.602,2,2,1,At Risk / Lost
Doug Bickford,34,7,1989.05,3,3,2,Loyal Customers
Doug Jacobs,13,3,3356.398,4,1,3,New / Occasional
Doug O'Connell,27,7,1267.316,4,3,2,Loyal Customers
Duane Benoit,13,7,1155.202,4,3,2,Loyal Customers
Duane Huffman,776,4,1043.096,1,1,1,At Risk / Lost
Duane Noonan,218,7,2139.79,1,3,2,Needs Attention
Ed Braxton,49,9,3644.978,3,4,3,Loyal Customers
Ed Jacobs,303,4,2162.174,1,1,2,At Risk / Lost
Ed Ludwig,78,2,124.28,2,1,1,At Risk / Lost
Edward Becker,36,10,3236.314,3,4,3,Loyal Customers
Edward Hooks,136,12,10310.880000000001,2,4,4,Needs Attention
Edward Nazzal,288,4,2199.366,1,1,2,At Risk / Lost
Eileen Kiefer,45,4,1303.478,3,1,2,New / Occasional
Eleni McCrary,133,5,2567.0099999999998,2,2,3,Needs Attention
Elizabeth Moffitt,56,8,2339.598,3,3,3,Loyal Customers
Ellis Ballard,91,5,4358.128,2,2,4,Needs Attention
Elpida Rittenbach,422,3,1245.788,1,1,2,At Risk / Lost
Emily Burns,101,10,2767.219,2,4,3,Needs Attention
Emily Ducich,136,8,3484.92,2,3,3,Needs Attention
Emily Grady,23,5,1832.02,4,2,2,New / Occasional
Emily Phan,13,17,5478.0608,4,4,4,Champions
Eric Barreto,162,5,944.6000000000001,2,2,1,At Risk / Lost
Eric Hoffmann,218,8,684.1709999999999,1,3,1,Needs Attention
Eric Murdock,152,5,933.704,2,2,1,At Risk / Lost
Erica Bern,1,4,1643.255,4,1,2,New / Occasional
Erica Hackney,406,6,825.9499999999999,1,2,1,At Risk / Lost
Erica Hernandez,3,7,1219.53,4,3,2,Loyal Customers
Erica Smith,41,5,3510.4579999999996,3,2,3,New / Occasional
Erin Ashbrook,153,13,2846.705,2,4,3,Needs Attention
Erin Creighton,54,5,461.914,3,2,1,New / Occasional
Erin Mull,48,4,228.99,3,1,1,New / Occasional
Erin Smith,29,9,4657.924,4,4,4,Champions
Eudokia Martin,114,4,1041.0420000000001,2,1,1,At Risk / Lost
Eugene Barchas,114,6,3071.126,2,2,3,Needs Attention
Eugene Hildebrand,153,10,3082.653,2,4,3,Needs Attention
Eugene Moren,49,6,4588.436000000001,3,2,4,New / Occasional
Eva Jacobs,58,5,2656.691,3,2,3,New / Occasional
Evan Bailliet,83,6,1186.326,2,2,2,At Risk / Lost
Evan Henry,106,6,923.884,2,2,1,At Risk / Lost
Evan Minnotte,159,3,366.822,2,1,1,At Risk / Lost
Filia McAdams,8,10,2456.638,4,4,3,Loyal Customers
Frank Atkinson,98,7,2984.054,2,3,3,Needs Attention
Frank Carlisle,71,7,3418.742,3,3,3,Loyal Customers
Frank Gastineau,35,7,1383.144,3,3,2,Loyal Customers
Frank Hawley,38,10,4256.272,3,4,4,Loyal Customers
Frank Merwin,37,9,3736.198,3,4,3,Loyal Customers
Frank Olsen,39,10,2678.438,3,4,3,Loyal Customers
Frank Preis,24,8,4046.746,4,3,4,Loyal Customers
Fred Chung,185,7,3889.366,1,3,4,Needs Attention
Fred Harton,213,4,2271.284,1,1,3,Needs Attention
Fred Hopkins,6,8,6987.196,4,3,4,Loyal Customers
Fred McMath,146,9,2523.266,2,4,3,Needs Attention
Fred Wasserman,363,3,79.75,1,1,1,At Risk / Lost
Gary Hansen,76,9,2819.4669999999996,3,4,3,Loyal Customers
Gary Hwang,51,4,4172.8460000000005,3,1,4,New / Occasional
Gary McGarr,84,7,3582.8199999999997,2,3,3,Needs Attention
Gary Mitchum,17,6,3078.624,4,2,3,New / Occasional
Gary Zandusky,8,9,4355.150000000001,4,4,4,Champions
Gene Hale,388,2,1361.2440000000001,1,1,2,At Risk / Lost
Gene McClure,107,10,1255.682,2,4,2,Needs Attention
George Ashbrook,150,8,3919.7760000000003,2,3,4,Needs Attention
George Bell,63,11,1568.44,3,4,2,Loyal Customers
George Zrebassa,158,4,2454.6220000000003,2,1,3,Needs Attention
Georgia Rosenberg,1136,2,1284.38,1,1,2,At Risk / Lost
Giulietta Baptist,14,5,4716.288,4,2,4,New / Occasional
Giulietta Dortch,6,4,1888.07,4,1,2,New / Occasional
Giulietta Weimer,29,7,2189.019,4,3,2,Loyal Customers
Grace Kelly,113,9,6497.27,2,4,4,Needs Attention
Grant Thornton,57,3,9351.212,3,1,4,New / Occasional
Greg Guthrie,44,9,2224.0,3,4,2,Loyal Customers
Greg Hansen,3,2,146.94080000000002,4,1,1,New / Occasional
Greg Matthias,153,6,3163.628,2,2,3,Needs Attention
Greg Maxwell,118,3,6049.966,2,1,4,Needs Attention
Greg Tran,37,11,11820.119999999999,3,4,4,Loyal Customers
Guy Armstrong,6,11,1398.382,4,4,2,Loyal Customers
Guy Phonely,765,2,236.53,1,1,1,At Risk / Lost
Guy Thornton,35,4,226.436,3,1,1,New / Occasional
Hallie Redmond,14,5,1299.288,4,2,2,New / Occasional
Harold Dahlen,769,3,251.36,1,1,1,At Risk / Lost
Harold Engle,13,4,883.5319999999999,4,1,1,New / Occasional
Harold Pawlan,31,7,1990.314,4,3,2,Loyal Customers
Harold Ryan,160,7,5248.787,2,3,4,Needs Attention
Harry Greene,55,5,785.628,3,2,1,New / Occasional
Harry Marie,3,10,8236.7648,4,4,4,Champions
Heather Jas,127,5,358.1,2,2,1,At Risk / Lost
Heather Kirkland,152,8,4877.784,2,3,4,Needs Attention
Helen Abelman,70,7,2163.3,3,3,2,Loyal Customers
Helen Andreada,21,8,2584.158,4,3,3,Loyal Customers
Helen Wasserman,118,8,9300.254,2,3,4,Needs Attention
Henia Zydlo,36,5,886.52,3,2,1,New / Occasional
Henry Goldwyn,24,12,3247.642,4,4,3,Loyal Customers
Henry MacAllister,248,4,736.276,1,1,1,At Risk / Lost
Herbert Flentye,22,7,2533.1639999999998,4,3,3,Loyal Customers
Hilary Holden,73,2,218.668,3,1,1,New / Occasional
Hunter Glantz,7,7,3690.284,4,3,3,Loyal Customers
Hunter Lopez,44,6,12873.297999999999,3,2,4,New / Occasional
Ionia McGrath,410,3,2872.63,1,1,3,Needs Attention
Irene Maddox,391,7,4930.474,1,3,4,Needs Attention
Ivan Gibson,72,4,744.574,3,1,1,New / Occasional
Ivan Liston,143,7,5040.736,2,3,4,Needs Attention
Jack Garza,758,3,2358.676,1,1,3,Needs Attention
Jack Lebron,9,6,1214.956,4,2,2,New / Occasional
Jack O'Briant,58,9,3254.949,3,4,3,Loyal Customers
James Galang,2,11,6366.392,4,4,4,Champions
James Lanier,7,5,1571.523,4,2,2,New / Occasional
Jamie Frazer,66,7,2279.5860000000002,3,3,3,Loyal Customers
Jamie Kunitz,62,5,4427.142,3,2,4,New / Occasional
Jane Waco,43,6,7721.714,3,2,4,New / Occasional
Janet Lee,120,5,2203.7,2,2,2,At Risk / Lost
Janet Martin,38,6,3159.1220000000003,3,2,3,New / Occasional
Janet Molinari,38,5,1804.146,3,2,2,New / Occasional
Jas O'Carroll,93,6,1934.272,2,2,2,At Risk / Lost
Jason Fortune-,226,5,955.124,1,2,1,At Risk / Lost
Jason Gross,3,6,2240.58,4,2,2,New / Occasional
Jason Klamczynski,288,3,383.812,1,1,1,At Risk / Lost
Jasper Cacioppo,115,4,71.263,2,1,1,At Risk / Lost
Jay Fein,106,6,1911.844,2,2,2,At Risk / Lost
Jay Kimmel,45,8,2709.632,3,3,3,Loyal Customers
Jenna Caffey,176,1,1058.108,2,1,1,At Risk / Lost
Jennifer Braxton,8,10,1791.605,4,4,2,Loyal Customers
Jennifer Ferguson,3,6,2371.448,4,2,3,New / Occasional
Jennifer Halladay,6,4,309.281,4,1,1,New / Occasional
Jennifer Jackson,484,5,709.178,1,2,1,At Risk / Lost
Jennifer Patt,38,7,1669.135,3,3,2,Loyal Customers
Jeremy Ellison,194,6,1388.682,1,2,2,At Risk / Lost
Jeremy Farry,122,11,1082.918,2,4,1,Needs Attention
Jeremy Lonsdale,50,6,3173.874,3,2,3,New / Occasional
Jeremy Pistek,9,7,3635.594,4,3,3,Loyal Customers
Jessica Myrick,103,7,1733.443,2,3,2,Needs Attention
Jesus Ocampo,216,5,1090.838,1,2,1,At Risk / Lost
Jill Fjeld,55,8,4198.332,3,3,4,Loyal Customers
Jill Matthias,1,5,303.948,4,2,1,New / Occasional
Jill Stevenson,120,4,1417.654,2,1,2,At Risk / Lost
Jim Epp,49,7,7754.976,3,3,4,Loyal Customers
Jim Karlsson,62,7,3760.028,3,3,3,Loyal Customers
Jim Kriz,181,9,4760.434,2,4,4,Needs Attention
Jim Mitchum,9,5,864.947,4,2,1,New / Occasional
Jim Radford,594,2,1156.658,1,1,2,At Risk / Lost
Jim Sink,43,4,1131.0639999999999,3,1,1,New / Occasional
Jocasta Rupert,69,1,863.88,3,1,1,New / Occasional
Joe Elijah,47,10,8697.842999999999,3,4,4,Loyal Customers
Joe Kamberova,85,10,4867.2,2,4,4,Needs Attention
Joel Eaton,52,13,6760.8150000000005,3,4,4,Loyal Customers
Joel Jenkins,753,2,195.0,1,1,1,At Risk / Lost
John Castell,159,9,2772.055,2,4,3,Needs Attention
John Dryer,118,5,2152.352,2,2,2,At Risk / Lost
John Grady,224,6,1507.018,1,2,2,At Risk / Lost
John Huston,175,6,528.91,2,2,1,At Risk / Lost
John Lee,22,11,9799.923,4,4,4,Champions
John Lucas,615,6,2725.256,1,2,3,Needs Attention
John Murray,110,7,7625.076000000001,2,3,4,Needs Attention
John Stevenson,535,5,3868.02,1,2,4,Needs Attention
Jonathan Doherty,395,11,7610.8640000000005,1,4,4,Needs Attention
Jonathan Howell,42,7,959.477,3,3,1,Loyal Customers
Joni Blumstein,737,3,900.552,1,1,1,At Risk / Lost
Joni Sundaresam,464,5,469.169,1,2,1,At Risk / Lost
Joni Wasserman,6,7,1244.086,4,3,2,Loyal Customers
Joseph Airdo,93,8,6491.026,2,3,4,Needs Attention
Joseph Holt,30,6,7954.9980000000005,4,2,4,New / Occasional
Joy Bell-,44,7,644.1188,3,3,1,Loyal Customers
Joy Daniels,113,6,385.43,2,2,1,At Risk / Lost
Joy Smith,29,6,2516.494,4,2,3,New / Occasional
Julia Barnett,8,5,2518.115,4,2,3,New / Occasional
Julia Dunbar,301,3,695.442,1,1,1,At Risk / Lost
Julia West,462,4,1428.731,1,1,2,At Risk / Lost
Juliana Krohn,29,3,3747.668,4,1,3,New / Occasional
Julie Creighton,58,5,858.576,3,2,1,New / Occasional
Julie Kriz,118,10,2932.484,2,4,3,Needs Attention
Julie Prescott,103,9,1707.71,2,4,2,Needs Attention
Justin Deggeller,42,8,8828.0305,3,3,4,Loyal Customers
Justin Ellison,21,3,2697.248,4,1,3,New / Occasional
Justin Hirsh,405,4,2256.3940000000002,1,1,2,At Risk / Lost
Justin MacKendrick,58,10,2833.9260000000004,3,4,3,Loyal Customers
Justin Ritter,34,5,2201.686,3,2,2,New / Occasional
Kalyca Meade,15,6,2260.958,4,2,3,New / Occasional
Karen Bern,5,7,3152.6150000000002,4,3,3,Loyal Customers
Karen Carlisle,408,6,2120.954,1,2,2,At Risk / Lost
Karen Daniels,485,5,8282.358,1,2,4,Needs Attention
Karen Ferguson,98,7,10604.266,2,3,4,Needs Attention
Karen Seio,296,3,88.472,1,1,1,At Risk / Lost
Karl Braun,297,9,1569.464,1,4,2,Needs Attention
Katharine Harms,41,8,3312.864,3,3,3,Loyal Customers
Katherine Ducich,42,6,1888.964,3,2,2,New / Occasional
Katherine Hughes,2,6,3100.612,4,2,3,New / Occasional
Katherine Murray,57,8,5620.186,3,3,4,Loyal Customers
Katherine Nockton,20,9,2617.272,4,4,3,Loyal Customers
Katrina Bavinger,118,3,908.821,2,1,1,At Risk / Lost
Katrina Edelman,27,8,1686.7312,4,4,2,Loyal Customers
Katrina Willman,97,5,4416.5199999999995,2,2,4,Needs Attention
Kean Nguyen,53,5,2171.962,3,2,2,New / Occasional
Kean Takahito,392,7,3057.1,1,3,3,Needs Attention
Kean Thornton,101,10,4642.088400000001,2,4,4,Needs Attention
Keith Dawkins,113,12,8181.256,2,4,4,Needs Attention
Keith Herrera,23,7,5952.859,4,3,4,Loyal Customers
Kelly Andreada,37,7,1519.506,3,3,2,Loyal Customers
Kelly Collister,98,4,3908.262,2,1,4,Needs Attention
Kelly Lampkin,17,8,5016.488,4,4,4,Champions
Kelly Williams,771,4,449.096,1,1,1,At Risk / Lost
Ken Black,231,12,2744.742,1,4,3,Needs Attention
Ken Brennan,2,7,983.922,4,3,1,Loyal Customers
Ken Dana,290,5,2243.5099999999998,1,2,2,At Risk / Lost
Ken Heidel,59,9,3918.9660000000003,3,4,4,Loyal Customers
